Title;Step;Expected result;Area Path;Iteration Path;QA Priority;Assigned To;Preconditions
Flota Dealera - page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;User is logged in (https://dev.azure.com/softvig/QA/_workitems/edit/105);
;In application page go to 'Flota Dealera' -> 'Auta zastępcze'.;Vehicle calendar page is displayed.;;;;;;
;"Verify menu content (left side of the page):
- Kalendarz pojazdów
- Lista umów
- Parki
- Lista pojazdów
- Uprawnienia do parków
- Kalendarz myjni
- Lista myć";It displays correctly.;;;;;;
;"Verify left panel on the page:
- today's date in format: full day name, DD.MM.YYY
- 'Dzisiaj' button
- 'Wybierz dzień' button
- search bar (drop-down list)
- parks' list with assigned replacement cars";It displays correctly.;;;;;;
;"Verify top panel of the page:
- toggle switch: 'Dostępny na dziś'
- button: 'Wyszukaj rezerwację'
- drop-down list with time
- toggle switch: '7 dni 30 dni'
- button: 'Sortowanie grup'";It displays correctly.;;;;;;
;"Verify that below top panel calendar days are displayed:
- shortened name's day
- DD.MM";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - add new park;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Parki';Page 'Parki samochodów' is loaded.;;;;;;
;"Verify columns in page layout:
- Operacje
- Nazwa parku
- filter icon";It displays correctly.;;;;;;
;Click 'Dodaj nowy park';Pop-up window 'Nowy park samochodów' is displayed.;;;;;;
;Click 'Zapisz'.;Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;;
;Fill in field 'Nazwa parku' and click 'Zapisz'.;Pop-up window 'Nowy park samochodów' is closed.;;;;;;
;Verify if created park exists on the parks list.;Created park is visible on the list.;;;;;;
;"Check available operations for the park:
- edit
- delete";Available operations are correct.;;;;;;
;End of test.;;;;;;;
Flota Dealera - edit park;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Parki';Page 'Parki samochodów' is loaded.;;;;;;
;Create new park [LINK];New park is created.;;;;;;
;Click edit icon next to newly created park.;Pop-up window 'Edycja parku samochodów' is displayed.;;;;;;
;Modify park's name and click 'Zapisz'.;Pop-up window 'Edycja parku samochodów' is closed.;;;;;;
;Verify if park's name has been changed.;Park's name is changed.;;;;;;
;End of test.;;;;;;;
Flota Dealera - delete park;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Parki';Page 'Parki samochodów' is loaded.;;;;;;
;Create new park [LINK];New park is created.;;;;;;
;Click delete icon next to newly created park.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;"Verify message in pop-up window: ""Czy na pewno chcesz usunąć park samochodów?""";It displays correctly.;;;;;;
;Click 'Nie'.;Pop-up window is closed.;;;;;;
;Verify if the park is still on the list.;Park is on the list.;;;;;;
;Click delete icon next to newly created park.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;Click 'Tak'.;Pop-up window is closed.;;;;;;
;Verify if the park is NOT visible on the parks list.;The park is NOT visible on the list.;;;;;;
;End of test.;;;;;;;
Flota Dealera - pojazdy: page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;"Verify columns in page layout:
- Operacje
- Nr rej.
- VIN
- Model
- Marka
- Nadwozie
- Rodzaj paliwa
- Rodzaj skrzyni
- Status
- Park
- Termin badania technicznego
- Termin ubezpieczenia
- Termin przeglądu
- Data rejestracji
- Rodzaj opon
- Stan licznika";It displays correctly.;;;;;;
;Verify if all columns are sortable (except column Operacje);Columns are sortable.;;;;;;
;Verify if under each column name (except column 'Operacje') there is a search field.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Nr rej.' to 'Rodzaj skrzyni' and 'Stan licznika'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;"Verify if search field for column 'Status' is a drop-down list with following values:
- (Wszystkie)
- Dostępny
- Niedostępny";It displays correctly.;;;;;;
;Verify if search field for column 'Park' is a drop-down list with all available parks.;It displays correctly.;;;;;;
;Verify if search field for columns from 'Termin badania technicznego' to 'Data rejestracji' is a calendar.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns with calendars):
- Równy
- Nierówny
- Mniejsze od
- Większe
- Mniejszy lub równy
- Większy lub równy
- Pomiędzy
- Wyczyść";It displays correctly.;;;;;;
;"Verify if search field for column 'Rodzaj opon' is a drop-down list with following values:
- (Wszystkie)
- Zimowe
- Letnie
- Wielosezonowe";It displays correctly.;;;;;;
;"Verify top panel of the page:
- button: 'Wydrukuj'
- button: 'Dodaj pojazd'
- button: 'Odśwież'
- button: 'Wyczyść filtry'
- three dots menu: 'Eksport do Excela'";It displays correctly.;;;;;;
;"Verify available options for pagination:
- 30
- 50
- 100";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - add new vehicle: form layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click 'Dodaj pojazd';Pop-up window 'Dodaj nowy pojazd' is displayed.;;;;;;
;"Verify section 'Przypisane':
- 'Park samochodów' (drop-down list, mandatory)
- 'Właściciel' (drop-down list, mandatory)
- 'Status' (drop-dow list: 'Dostępny', 'Niedostępny')
- 'Czy wydany?' (checkbox)";It displays correctly.;;;;;;
;"Verify section 'Dane pojazdu':
- 'Numer rejestracyjny' (mandatory)
- 'Data rejestracji' (calendar)
- 'VIN'
- 'Rok produckji'
- 'Marka' (mandatory)
- 'Model' (mandatory)
- 'Typ' (mandatory)
- 'Nadwozie'
- 'Segment'
- 'Rodzaj skrzyni'
- 'Rodzaj paliwa'
- 'Rodzaj opon' (drop-down list)";It displays correctly.;;;;;;
;"Verify section 'Dostępność pojazdu':
- 'Dostępny od' (calendar)
- 'Dostępny do' (calendar)";It displays correctly.;;;;;;
;"Verify section 'Terminy':
- 'Termin badania technicznego' (calendar)
- 'Termin przeglądu' (calendar)
- 'Termin ubezpieczenia' (calendar)";It displays correctly.;;;;;;
;"Verify section 'Ewidencja przejazdu':
- 'Wymaga ewidencji przebiegu' (checkbox)
- 'Data początku ewidencji' (calendar)
- 'Licznik na początek ewidencji'
- 'Data końca ewidencji' (calendar)
- 'Licznik na koniec ewidencji'.";It displays correctly.;;;;;;
;"Verify section 'Dane dodatkowe':
- 'Początek amortyzacji' (calendar)
- 'Koniec amortyzacji' (calendar)
- 'Status VAT'
- 'Status ewidencji'
- 'Stawka wynajmu'
- 'Przebieg początkowy'.";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - add new vehicle;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click 'Dodaj pojazd';Pop-up window 'Dodaj nowy pojazd' is displayed.;;;;;;
;Click 'Zapisz zmiany';Warning message occurs: 'Proszę poprawić błędy w formularzu';;;;;;
;"Verify if mandatory fields are marked with red icon:
- Park samochodów
- Właściciel
- Numer rejestracyjny
- Marka
- Model
- Typ";It displays correctly.;;;;;;
;"Click on any mandatory field to check error message: ""Pole nie może być puste"".";It displays correctly.;;;;;;
;Fill in all mandatory fields (from step 4).;Fields are filled in.;;;;;;
;Click 'Zapisz zmiany';Pop-up window 'Dodaj nowy pojazd' is closed.;;;;;;confirmation message
;Verify if newly created vehicle is available on the vehicles list;Vehicle is available on the list.;;;;;;
;End of test.;;;;;;;
Flota Dealera - edit vehicle;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Create new vehicle <link>;Vehicle is created.;;;;;;
;Find created vehicle on the list.;Vehicle is available on the list.;;;;;;
;Click 'Edytuj' icon (column 'Operacje) next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Modify vehicle's data and click 'Zapisz zmiany'.;Pop-up window 'Edycja pojazdu' is closed.;;;;;;
;Verify if vehicle has changed data.;Vehicle's data is changed.;;;;;;
;End of test.;;;;;;;
Flota Dealera - delete vehicle;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Create new vehicle <link>;Vehicle is created.;;;;;;
;Find created vehicle on the list.;Vehicle is available on the list.;;;;;;
;Click 'Usuń' icon (column 'Operacje) next to created vehicle.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;"Verify message in pop-up window: ""Czy na pewno chcesz usunąć pojazd?""";It displays correctly.;;;;;;
;Click 'Nie'.;Pop-up window is closed.;;;;;;
;Verify if the vehicle is still on the list.;Vehicle is on the list.;;;;;;
;Click 'Usuń' icon (column 'Operacje) next to created vehicle.;Pop-up window 'Potwierdzenie' is displayed.;;;;;;
;Click 'Tak'.;Pop-up window is closed.;;;;;;
;Verify if the vehicle is NOT visible on the list.;The vehicle is NOT visible on the list.;;;;;;
;End of test.;;;;;;;
Flota Dealera - Lista umów: page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Lista umów';Page 'Lista umów' is loaded.;;;;;;
;"Verify top panel of the page:
- button: 'Odśwież'
- button: 'Wyczyść filtry'
- three dots menu: 'Eksport do Excela'
- filter button
- checkbox: Bez naprawy
- checkbox: Otwarte przeterminowane";It displays correctly.;;;;;;
;"Verify columns in page layout, section 'Pojazd wynajmowany':
- Operacje
- Nr rej.
- Model
- Park
- Data wydania
- Data przyjęcia";It displays correctly.;;;;;;
;"Verify columns in page layout, section 'Umowa':
- Numer umowy
- Status
- Data od
- Data do
- Dotyczy naprawy";It displays correctly.;;;;;;
;"Verify columns in page layout, section 'Pojazd naprawiany':
- Najemca
- Nr rej.
- Model
- Umowa dla
- Utworzył";It displays correctly.;;;;;;
;Verify if all columns are sortable (except column Operacje);Columns are sortable.;;;;;;
;Verify if under each column name (except column 'Operacje') there is a search field.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Nr rej.' and 'Model'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;Verify if search field for column 'Park' is a drop-down list with the list of parks.;It displays correctly.;;;;;;
;Verify if search field for columns 'Data wydania', 'Data przyjęcia' is a calendar.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (column 'Numer umowy'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;"Verify if search field for column 'Status' is a drop-down list with following values:
- (Wszystkie)
- Otwarta
- Zamknięta";It displays correctly.;;;;;;
;Verify if search field for columns 'Data od', 'Data do' is a calendar.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Dotyczy naprawy' to 'Nr rej'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;Verify if search field for column 'Model' (section 'Pojazd naprawiany') is a drop-down list with the list of models.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns 'Umowa dla', 'Utworzył'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - Uprawnienia do parków: page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Uprawnienia do parków';Page 'Uprawnienia do parków' is loaded.;;;;;;
;Verify if on top panel of the page, 'Wyczyść filtry' button is visible.;It displays correctly.;;;;;;
;"Verify columns in page layout:
- Uprawnienia
- Nazwa parku
- Jednostka
- Lokalizacja
- Firma";It displays correctly.;;;;;;
;Verify if all columns are sortable (except column 'Uprawnienia');Columns are sortable.;;;;;;
;Verify if next to sortring icons there are filter icons in each column (except column 'Uprawnienia');It displays correctly.;;;;;;
;Click on filter icon in column 'Nazwa parku' to check if parks' list with checkboxes is displayed.;It displays correctly.;;;;;;
;Click on filter icon in column 'Jednostka' to check if units' list with checkboxes is displayed.;It displays correctly.;;;;;;
;Click on filter icon in column 'Lokalizacja' to check if locations' list with checkboxes is displayed.;It displays correctly.;;;;;;
;Click on filter icon in column 'Firma' to check if companies' list with checkboxes is displayed.;It displays correctly.;;;;;;
;Verify if under each column name (except column 'Uprawnienia') there is a search field.;It displays correctly.;;;;;;
;"Move the mouse over search icon to verify searching type (columns from 'Nazwa parku' to 'Firma'):
- Zawiera
- Nie zawiera
- Zaczyna się od
- Kończy się
- Równy
- Nierówny
- Wyczyść";It displays correctly.;;;;;;
;Verify if column 'Uprawnienia' contains drop-down list for each record.;It displays correctly.;;;;;;
;"Verify drop-down list content in column 'Uprawnienia':
- Brak dostępu
- Odczyt
- Rezerwacja
- Edycja";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - Park entitlements verification: Bodyshop;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.";
;On the left-side menu, go to 'Parki';Page 'Parki samochodów' is loaded.;;;;;;
;Create new park [LINK];New park is created.;;;;;;
;Create new vehicle [LINK] ('Park samochodów': the one created in step 2).;New vehicle is created.;;;;;;
;On the left-side menu, go to 'Uprawnienia do parków';Page 'Uprawnienia do parków' is loaded.;;;;;;
;"Verify if below data are assigned to the park:
- Jednostka: BOK CLS
- Lokalizacja: Lokalizacja 1
- Firma: SvCompany 1";It displays correctly.;;;;;;
;In 'Uprawnienia' column, set 'Brak dostępu' for the new park.;'Brak dostępu' is set.;;;;;;
;In the new window, go to 'Blacharnia' application.;'Blacharnia' page is displayed.;;;;;;
;Go to 'BOK Blacharnia' -> BOK CLS (the one for which park is assigned).;BOK CLS  page is displayed.;;;;;;
;On the left-side menu, go to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Verify if the new park is NOT visible on the list.;The park is NOT visible on the list.;;;;;;
;Go back to 'Uprawnienia parków' and change park's entitlements to 'Odczyt'.;'Odczyt' is set.;;;;;;
;Go back to 'BOK CLS' page and verify if park is visible on the list.;The park is visible on the list.;;;;;;
;Verify if reservation CANNOT be done (warning message occurs: 'Brak uprawnień do rezerwacji tego zasobu').;Reservation CANNOT be done, message displays correctly.;;;;;;
;Go back to 'Uprawnienia parków' and change park's entitlements to 'Rezerwacja'.;'Rezerwacja' is set.;;;;;;
;Go back to 'BOK CLS' page and add a reservation for the car in the park.;Reservation has been added.;;;;;;
;"Verify the reservation:
- colour: violet
- title (after hovering over): Awizo";It displays correctly.;;;;;;
;Edit the reservation created in step 15.;Reservation has been edited.;;;;;;
;Go back to 'Uprawnienia parków' and change park's entitlements to 'Edycja'.;'Edycja' is set.;;;;;;
;Go back to 'BOK CLS' page and add new reservation.;Reservation has been added.;;;;;;
;"Verify the reservation:
- colour: dark blue
- title (after hovering over): Rezerwacja";It displays correctly.;;;;;;
;Edit the reservation created in step 19.;Reservation has been edited.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicles' calendar: 'Nowe zadanie': page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Rezerwacja [LINK]
Vehicle is assinged to the park";
;On the left-side menu, go to 'Kalendarz pojazdów';Page 'Kalendarz pojazdów' is loaded.;;;;;;
;Click on a day in calendar view in a row with vehicle assigned to created park.;Pop-up window 'Nowe zadanie' is displayed.;;;;;;
;"Verify section 'Czas trwania':
- toggle switch 'Planuj wg czasu / Planuj wg dat'
- Data rozpoczęcia (calendar)
- Data zakończenia (calendar)
- Dni
- Godziny";It displays correctly.;;;;;;
;"Click toggle switch to 'Planuj wg czasu' and verify the section:
- Data rozpoczęcia - field is active
- Data zakończenia - field is inactive
- Dni - field is active
- Godziny - field is active";It displays correctly.;;;;;;
;"Click toggle switch to 'Planuj wg dat' and verify the section:
- Data rozpoczęcia - field is active
- Data zakończenia - field is active
- Dni - field is inactive
- Godziny - field is inactive";It displays correctly.;;;;;;
;"Verify 'Dane rezerwacji' section:
- Typ (drop-down list)
- Komentarz";It displays correctly.;;;;;;
;"Verify 'Typ' drop-down list content:
- Rezerwacja do naprawy
- Rezerwacja na pojazd
- Wyłączenie
- Jazda próbna";It displays correctly.;;;;;;
;Verify if in section 'Pojazd zarezerwowany' vehicle's data is displayed.;It displays correctly.;;;;;;
;"Verify section 'Dział':
- Utworzone przez - inactive, pre-filled ('Auta zastępcze')
- Utworzył - inactive, pre-filled
- Utworzone dla - active, drop-down list.";It displays correctly.;;;;;;
;"Verify section 'Pojazd':
- Numer rejestracyjny
- Model";It displays correctly.;;;;;;
;"Verify section'Kontakt':
- Imię
- Nazwisko
- Prefix
- Numer telefonu
- E-mail";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicles' calendar: create reservation;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Rezerwacja [LINK]
Vehicle is assinged to the park";
;On the left-side menu, go to 'Kalendarz pojazdów';Page 'Kalendarz pojazdów' is loaded.;;;;;;
;Click on a day in calendar view in a row with vehicle assigned to created park.;Pop-up window 'Nowe zadanie' is displayed.;;;;;;
;In section 'Czas trwania' switch to 'Planuj wg dat'.;Toggle switch is set correctly.;;;;;;
;Verify if fields 'Data rozpoczęcia' and 'Data zakończenia' are filled in.;It displays correctly.;;;;;;
;Verify if date in 'Data zakończenia' is set one day after 'Data rozpoczęcia' by default.;It displays correctly.;;;;;;
;Set 'Typ' to 'Rezerwacja na pojazd'.;'Typ' is selected.;;;;;;
;Fill in field 'Komentarz' with a comment, e.g. 'Test comment'.;Field is filled in.;;;;;;
;Click 'Dodaj rezerwację'.;Pop-up window 'Nowe zadanie' is closed.;;;;;;
;"Verify if reservation is visible in the calendar:
- colour: dark blue
- title (after hovering over): Rezerwacja";It displays correctly.;;;;;;
;"Right-click on the reservation to verify the list of actions:
- Usuń
- Wydaj
- Wydrukuj protokół wydania
- Dodaj umowę
- Przeplanuj";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicles' calendar: edit reservation;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Rezerwacja [LINK]
Vehicle is assinged to the park";
;On the left-side menu, go to 'Kalendarz pojazdów';Page 'Kalendarz pojazdów' is loaded.;;;;;;
;Create a reservation [LINK];Reservation is created.;;;;;;
;Single-click on the reservation.;Pop-up window 'Edycja rezerwacji' is displayed.;;;;;;
;"Verify if below fields are inactive:
- Typ
- Utworzone dla";It displays correctly.;;;;;;
;Change the date in 'Data rozpoczęcia'.;Date has been changed.;;;;;;
;Click 'Zapisz zmiany'.;Pop-up window 'Edycja rezerwacji' is closed.;;;;;;
;Verify if the reservation is visble in new date on calendar.;It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicles' calendar: delete reservation;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Rezerwacja [LINK]
Vehicle is assinged to the park";
;On the left-side menu, go to 'Kalendarz pojazdów';Page 'Kalendarz pojazdów' is loaded.;;;;;;
;Create a reservation [LINK];Reservation is created.;;;;;;
;Right-click on the reservation and click 'Usuń'.;Reservation is deleted.;;;;;;
;End of test.;;;;;;;
Flota Dealera - Bodyshop: create reservation (type: Rezerwacja);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Edycja [LINK]
Vehicle is assinged to the park";
;In the new window, go to 'Blacharnia' application.;'Blacharnia' page is displayed.;;;;;;
;Go to 'BOK Blacharnia' -> BOK CLS (the one for which park is assigned).;BOK CLS  page is displayed.;;;;;;
;On the left-side menu, go to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Click on a day in calendar view in a row with vehicle assigned to created park.;Pop-up window 'Nowe zadanie' is displayed.;;;;;;
;Click 'Dodaj rezerwację'.;Pop-up window 'Nowe zadanie' is closed.;;;;;;
;"Verify if reservation is visible in the calendar:
- colour: dark blue
- title (after hovering over): Rezerwacja";It displays correctly.;;;;;;
;Go to 'Flota Dealera' -> 'Auta zastępcze' -> 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Verify if reservation created in steps 4-5 is visible on the calendar in the same way as in step 6.;The reservation is visible on the calendar.;;;;;;
;End of test.;;;;;;;
Flota Dealera - Bodyshop: create reservation (type: Awizo);;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created with entitlement: Rezerwacja [LINK]
Vehicle is assinged to the park";
;In the new window, go to 'Blacharnia' application.;'Blacharnia' page is displayed.;;;;;;
;Go to 'BOK Blacharnia' -> BOK CLS (the one for which park is assigned).;BOK CLS  page is displayed.;;;;;;
;On the left-side menu, go to 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Click on a day in calendar view in a row with vehicle assigned to created park.;Pop-up window 'Nowe zadanie' is displayed.;;;;;;
;Click 'Dodaj rezerwację'.;Pop-up window 'Nowe zadanie' is closed.;;;;;;
;"Verify if reservation is visible in the calendar:
- colour: violet
- title (after hovering over): Awizo";It displays correctly.;;;;;;
;Go to 'Flota Dealera' -> 'Auta zastępcze' -> 'Kalendarz pojazdów'.;'Kalendarz pojazdów' page is displayed.;;;;;;
;Verify if reservation created in steps 4-5 is visible on the calendar in the same way as in step 6.;The reservation is visible on the calendar.;;;;;;
;"Right-click on the reservation to verify the list of actions:
- Usuń
- Ustaw jako rezerwację
- Przeplanuj";It displays correctly.;;;;;;
;Click 'Ustaw jako rezerwację'.;Colour has been changed to dark blue.;;;;;;
;"Verify the reservation in the calendar:
- colour: dark blue
- title (after hovering over): Rezerwacja";It displays correctly.;;;;;;
;Go back to 'Blacharnia' to verify if reservation has been changed from 'Awizo' to ' Rezerwacja';It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicle: Ewidencja przebiegu page layout;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created.
Vehicle is assinged to the park";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
;"Verify header buttons:
- Wydrukuj
- Utwórz ewidencję
- Odśwież
- Wyczyść filtry";It displays correctly.;;;;;;
;"Verify columns:
- Operacje
- R
- Data wydania (with calendar search field)
- Data przyjęcia (with calendar search field)
- Przebieg  początkowy (with search field)
- Przebieg końcowy (with search field)
- Dystans (with search field)
- Osoba obierająca (with search field)
- Cel wynajmu (with search field)
- Opis trasy (with search field)
- Nr umowy (with search field)
- Utworzył (with search field)
- Data utworzenia (with calendar search field)";It displays correctly.;;;;;;
;End of test.;;;;;;;
Flota Dealera - vehicle: add mileage record;;;QA\SVCloud;QA\SVCloud\Flota;Medium;justyna.biernacka@softvig.pl;"User is logged in
Flota Dealera page is loaded.
Park is created.
Vehicle is assinged to the park";
;On the left-side menu, go to 'Lista pojazdów';Page 'Lista pojazdów' is loaded.;;;;;;
;Click edit icon next to created vehicle.;Pop-up window 'Edycja pojazdu' is displayed.;;;;;;
;Click 'Ewidencja przebiegu' tab.;'Ewidencja przebiegu' page is displayed.;;;;;;
